日期,纳指ETF,红利低波ETF,中证500ETF,黄金ETF,国债ETF
2020-01-17,0.6963,0.5894,4.8521,3.4040,116.8280
2020-01-23,0.6953,0.5649,4.7263,3.4300,117.8416
2020-02-07,0.7415,0.5376,4.6885,3.4680,118.3947
2020-02-14,0.8017,0.5522,4.7741,3.4940,118.3723
2020-02-21,0.7435,0.5659,5.1189,3.6460,118.1772
2020-02-28,0.6781,0.5474,4.8060,3.6230,118.9781
2020-03-06,0.6983,0.5723,5.0753,3.6860,119.1498
2020-03-13,0.6432,0.5420,4.8169,3.5020,119.2200
2020-03-20,0.6320,0.5205,4.5903,3.3460,118.7215
2020-03-27,0.6316,0.5293,4.5115,3.6120,119.7936
2020-04-03,0.6152,0.5249,4.4838,3.5750,120.1965
2020-04-10,0.6250,0.5303,4.5929,3.6710,121.2413
2020-04-17,0.6747,0.5337,4.6793,3.6690,121.8266
2020-04-24,0.6889,0.5268,4.6482,3.7690,122.7826
2020-04-30,0.7471,0.5464,4.7229,3.7460,123.3396
2020-05-08,0.7575,0.5483,4.8555,3.7690,122.2178
2020-05-15,0.7217,0.5415,4.8580,3.8340,122.4626
2020-05-22,0.7189,0.5332,4.7044,3.8650,122.0178
2020-05-29,0.7457,0.5395,4.7707,3.8640,120.8589
2020-06-05,0.7581,0.5498,4.9436,3.8170,119.5673
2020-06-12,0.7445,0.5513,4.9612,3.8540,119.9995
2020-06-19,0.7601,0.5591,5.1415,3.8440,118.8181
2020-06-24,0.7655,0.5557,5.1625,3.9100,118.9137
2020-07-03,0.7601,0.5977,5.4100,3.9150,119.1547
2020-07-10,0.7691,0.6285,6.0007,3.9260,118.2845
2020-07-17,0.7733,0.6236,5.6793,3.9040,118.8191
2020-07-24,0.7671,0.6226,5.6474,4.1090,119.3654
2020-07-31,0.7837,0.6407,5.9117,4.2160,118.7752
2020-08-07,0.8005,0.6554,6.0174,4.3780,118.6386
2020-08-14,0.8113,0.6646,5.9713,4.0880,118.3313
2020-08-21,0.8417,0.6710,5.9730,4.0910,118.1782
2020-08-28,0.9590,0.6725,6.0283,4.1090,117.4553
2020-09-04,0.9688,0.6549,5.9612,4.0650,117.5460
2020-09-11,0.9055,0.6378,5.6693,4.0870,117.7509
2020-09-18,0.9518,0.6583,5.8379,4.0780,117.7587
2020-09-25,0.8887,0.6304,5.6181,3.9280,117.9938
2020-09-30,0.9107,0.6290,5.5669,3.9740,117.7450
2020-10-09,0.9284,0.6387,5.7154,3.9710,117.5724
2020-10-16,0.9161,0.6515,5.7917,3.9650,117.5314
2020-10-23,0.9015,0.6451,5.6013,3.9560,117.8650
2020-10-30,0.8499,0.6348,5.5057,3.8970,117.9996
2020-11-06,0.8963,0.6632,5.6844,4.0010,117.9557
2020-11-13,0.8767,0.6676,5.6894,3.8900,117.4933
2020-11-20,0.8607,0.6920,5.7943,3.8430,117.4007
2020-11-27,0.8621,0.6949,5.7481,3.7200,117.5538
2020-12-04,0.8695,0.6881,5.8454,3.7540,117.7792
2020-12-11,0.8411,0.6681,5.6164,3.7390,117.6699
2020-12-18,0.8603,0.6661,5.6936,3.8380,117.7119
2020-12-25,0.8639,0.6510,5.6844,3.8530,118.2825
2020-12-31,0.8747,0.6490,5.7599,3.8500,118.3420
2021-01-08,0.8633,0.6529,5.9470,3.8780,118.5342
2021-01-15,0.8533,0.6505,5.8236,3.7850,118.8766
2021-01-22,0.8861,0.6431,6.0116,3.8060,118.8815
2021-01-29,0.8651,0.6270,5.7439,3.7780,118.4376
2021-02-05,0.9013,0.6368,5.6533,3.6810,118.4737
2021-02-10,0.9103,0.6431,5.9100,3.7560,118.4923
2021-02-19,0.9051,0.6676,6.0879,3.6340,118.3938
2021-02-26,0.8489,0.6695,5.7708,3.6130,118.5332
2021-03-05,0.8361,0.6793,5.8152,3.4820,119.0044
2021-03-12,0.8645,0.6940,5.6374,3.5240,118.8708
2021-03-19,0.8531,0.6896,5.6307,3.5890,118.6171
2021-03-26,0.8641,0.6852,5.6634,3.5790,118.7401
2021-04-02,0.8955,0.6920,5.7297,3.6120,119.0932
2021-04-09,0.9207,0.6964,5.7481,3.6310,118.8425
2021-04-16,0.9358,0.7072,5.7657,3.6430,119.3439
2021-04-23,0.9141,0.6998,5.8731,3.6680,119.7409
2021-04-30,0.9234,0.7023,5.9008,3.6250,119.5985
2021-05-07,0.9001,0.7150,5.8555,3.7170,119.5858
2021-05-14,0.8785,0.7208,5.9495,3.7390,119.7341
2021-05-21,0.8937,0.7189,5.9411,3.8160,120.3311
2021-05-28,0.8963,0.7468,6.0820,3.8000,120.1175
2021-06-04,0.8875,0.7492,6.1139,3.7320,120.0034
2021-06-11,0.9123,0.7428,6.1508,3.7950,119.7078
2021-06-18,0.9364,0.7301,6.0988,3.6250,119.9575
2021-06-25,0.9508,0.7414,6.2389,3.6240,120.0775
2021-07-02,0.9652,0.7306,6.1005,3.6320,120.4443
